"pathway","pval","padj","overlap","size","overlapGenes","Pathway_Set","Significance"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0934615693901324,1,9,191,"CYFIP2, EZR, FGFR3, ITGA6, ITGA7, MYL5, PDGFC, PDGFD, PDGFRA","KEGG_LEGACY","Not Significant"
"KEGG_MELANOMA",0.0983141493884615,1,4,62,"MITF, PDGFC, PDGFD, PDGFRA","KEGG_LEGACY","Not Significant"
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.108673955254044,1,2,20,"AQP1, FXYD2","KEGG_LEGACY","Not Significant"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.111943756039415,1,4,65,"CDH2, ITGA6, ITGA7, PKP2","KEGG_LEGACY","Not Significant"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.112925554927665,1,8,171,"ADCY5, ADCY9, CCL24, CX3CL1, CXCL1, CXCL2, CXCL6, SHC2","KEGG_LEGACY","Not Significant"
"KEGG_LYSOSOME",0.11472483203728,1,6,117,"AP1M1, AP3B2, CD164, GAA, IDUA, SMPD1","KEGG_LEGACY","Not Significant"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.115248774915525,1,3,42,"ADCY9, AQP3, CREB5","KEGG_LEGACY","Not Significant"
"KEGG_GALACTOSE_METABOLISM",0.127426084967216,1,2,22,"GAA, GALK1","KEGG_LEGACY","Not Significant"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.127426084967216,1,2,22,"CHST13, CHST7","KEGG_LEGACY","Not Significant"
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.127739886480773,1,3,44,"CYP21A2, CYP7B1, HSD17B8","KEGG_LEGACY","Not Significant"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.172132055751443,1,5,104,"ADCY5, ADCY9, GUCY1B1, KCNMB3, PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_DILATED_CARDIOMYOPATHY",0.173784890915161,1,4,77,"ADCY5, ADCY9, ITGA6, ITGA7","KEGG_LEGACY","Not Significant"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.174796318460213,1,3,51,"AOC1, GAMT, SAT2","KEGG_LEGACY","Not Significant"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.176863283278868,1,5,105,"CLDN10, CLDN9, EZR, MAPK12, MYL5","KEGG_LEGACY","Not Significant"
"KEGG_BASAL_CELL_CARCINOMA",0.181878061825649,1,3,52,"FZD1, WNT3, WNT9A","KEGG_LEGACY","Not Significant"
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.197603344132569,1,2,29,"AOC2, GAMT","KEGG_LEGACY","Not Significant"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.210914237493082,1,3,56,"CXCL1, CXCL2, MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.216358720524372,1,5,113,"EPOR, GHR, IFNE, IL15RA, IL6R","KEGG_LEGACY","Not Significant"
"KEGG_PROSTATE_CANCER",0.226242073858599,1,4,86,"CREB5, PDGFC, PDGFD, PDGFRA","KEGG_LEGACY","Not Significant"
"KEGG_GNRH_SIGNALING_PATHWAY",0.24456094324102,1,4,89,"ADCY5, ADCY9, MAPK12, PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_PURINE_METABOLISM",0.251751994285953,1,6,150,"ADCY5, ADCY9, ADSS1, ENPP1, GUCY1B1, NME5","KEGG_LEGACY","Not Significant"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.269063834132148,1,5,123,"CADM1, CDH2, CLDN10, CLDN9, ITGA6","KEGG_LEGACY","Not Significant"
"KEGG_SPHINGOLIPID_METABOLISM",0.271190888274405,1,2,36,"GAL3ST1, SMPD1","KEGG_LEGACY","Not Significant"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.286920557485512,1,3,66,"ATP6V1E2, CXCL1, MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_VEGF_SIGNALING_PATHWAY",0.310222420236971,1,3,69,"MAPK12, PLA2G4A, SHC2","KEGG_LEGACY","Not Significant"
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.334247969076445,1,2,42,"ENPP1, GAA","KEGG_LEGACY","Not Significant"
"KEGG_GLYCEROLIPID_METABOLISM",0.344629095002547,1,2,43,"DGKG, PNPLA3","KEGG_LEGACY","Not Significant"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.349990390307737,1,1,15,"FUT8","KEGG_LEGACY","Not Significant"
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.375433186535095,1,2,46,"FUT8, TUSC3","KEGG_LEGACY","Not Significant"
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0.386290982357884,1,1,17,"HNF1B","KEGG_LEGACY","Not Significant"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.395490122028284,1,3,80,"ADCY5, ADCY9, MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.403675436333829,1,1,18,"IDUA","KEGG_LEGACY","Not Significant"
"KEGG_PHENYLALANINE_METABOLISM",0.403675436333829,1,1,18,"AOC2","KEGG_LEGACY","Not Significant"
"KEGG_TIGHT_JUNCTION",0.410500806944323,1,4,115,"CLDN10, CLDN9, MYL5, PARD6G","KEGG_LEGACY","Not Significant"
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.415537088672045,1,2,50,"LTC4S, PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_NITROGEN_METABOLISM",0.420568483463182,1,1,19,"CA9","KEGG_LEGACY","Not Significant"
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.425363242558242,1,2,51,"ADCY9, ATP6V1E2","KEGG_LEGACY","Not Significant"
"KEGG_HEDGEHOG_SIGNALING_PATHWAY",0.435102649787546,1,2,52,"WNT3, WNT9A","KEGG_LEGACY","Not Significant"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.435102649787546,1,2,52,"EZR, TUBB6","KEGG_LEGACY","Not Significant"
"KEGG_REGULATION_OF_AUTOPHAGY",0.436983984947874,1,1,20,"ULK2","KEGG_LEGACY","Not Significant"
"KEGG_ERBB_SIGNALING_PATHWAY",0.448381230377965,1,3,87,"NRG1, NRG2, SHC2","KEGG_LEGACY","Not Significant"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.448381230377965,1,3,87,"IRF5, MAPK12, SPP1","KEGG_LEGACY","Not Significant"
"KEGG_AXON_GUIDANCE",0.448523844906182,1,4,121,"EPHA6, EPHB6, SEMA4F, SEMA6A","KEGG_LEGACY","Not Significant"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.448523844906182,1,4,121,"C4A, C4B, C5, H3C4","KEGG_LEGACY","Not Significant"
"KEGG_BETA_ALANINE_METABOLISM",0.452935411834051,1,1,21,"AOC2","KEGG_LEGACY","Not Significant"
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.454309608815757,1,2,54,"IFNE, MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.468435855970567,1,1,22,"BAAT","KEGG_LEGACY","Not Significant"
"KEGG_LINOLEIC_ACID_METABOLISM",0.468435855970567,1,1,22,"PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.468435855970567,1,1,22,"ENPP1","KEGG_LEGACY","Not Significant"
"KEGG_LONG_TERM_DEPRESSION",0.491567427980512,1,2,58,"GUCY1B1, PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.498134331013079,1,1,24,"NDST1","KEGG_LEGACY","Not Significant"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.500629135807729,1,2,59,"CPT1B, SLC2A1","KEGG_LEGACY","Not Significant"
"KEGG_MAPK_SIGNALING_PATHWAY",0.51250674985099,1,7,238,"CACNA1H, FGFR3, FLNB, MAPK12, MAPK8IP1, PDGFRA, PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_GLIOMA",0.535819016094732,1,2,63,"PDGFRA, SHC2","KEGG_LEGACY","Not Significant"
"KEGG_ETHER_LIPID_METABOLISM",0.53960632359742,1,1,27,"PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.53960632359742,1,1,27,"GALNT18","KEGG_LEGACY","Not Significant"
"KEGG_HISTIDINE_METABOLISM",0.565336317516915,1,1,29,"AOC1","KEGG_LEGACY","Not Significant"
"KEGG_OOCYTE_MEIOSIS",0.567670845987872,1,3,104,"ADCY5, ADCY9, MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.577354587600593,1,2,68,"MAPK12, PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.577658083335749,1,1,30,"ADSS1","KEGG_LEGACY","Not Significant"
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.589631291869309,1,1,31,"TSHR","KEGG_LEGACY","Not Significant"
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.593191103324815,1,2,70,"DGKG, PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.600941772822688,1,2,71,"ITGA6, ITGA7","KEGG_LEGACY","Not Significant"
"KEGG_BUTANOATE_METABOLISM",0.601265782207683,1,1,32,"ACSM1","KEGG_LEGACY","Not Significant"
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.612571116292031,1,1,33,"PFKFB3","KEGG_LEGACY","Not Significant"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.623556586704758,1,1,34,"FXYD2","KEGG_LEGACY","Not Significant"
"KEGG_PRION_DISEASES",0.623556586704758,1,1,34,"C5","KEGG_LEGACY","Not Significant"
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.632637108533086,1,4,153,"ADCY9, CACNA1H, PDGFRA, PTGFR","KEGG_LEGACY","Not Significant"
"KEGG_PATHWAYS_IN_CANCER",0.64685637654723,1,8,308,"FGFR3, FZD1, ITGA6, MITF, PDGFRA, SLC2A1, WNT3, WNT9A","KEGG_LEGACY","Not Significant"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.66447667384503,1,1,38,"SNAP25","KEGG_LEGACY","Not Significant"
"KEGG_TYROSINE_METABOLISM",0.66447667384503,1,1,38,"AOC2","KEGG_LEGACY","Not Significant"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.675190963214358,1,3,122,"BEX3, MAPK12, SHC2","KEGG_LEGACY","Not Significant"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.678885060751087,1,2,82,"GDF7, THBS3","KEGG_LEGACY","Not Significant"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.683240581653547,1,1,40,"IL15RA","KEGG_LEGACY","Not Significant"
"KEGG_ABC_TRANSPORTERS",0.692226110294356,1,1,41,"ABCA3","KEGG_LEGACY","Not Significant"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.692226110294356,1,1,41,"GALK1","KEGG_LEGACY","Not Significant"
"KEGG_FATTY_ACID_METABOLISM",0.692226110294356,1,1,41,"CPT1B","KEGG_LEGACY","Not Significant"
"KEGG_BLADDER_CANCER",0.700957284470403,1,1,42,"FGFR3","KEGG_LEGACY","Not Significant"
"KEGG_TYPE_II_DIABETES_MELLITUS",0.700957284470403,1,1,42,"KCNJ11","KEGG_LEGACY","Not Significant"
"KEGG_GLUTATHIONE_METABOLISM",0.709441288981542,1,1,43,"ANPEP","KEGG_LEGACY","Not Significant"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.725695521305856,1,1,45,"MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_WNT_SIGNALING_PATHWAY",0.761670719059611,1,3,140,"FZD1, WNT3, WNT9A","KEGG_LEGACY","Not Significant"
"KEGG_MTOR_SIGNALING_PATHWAY",0.762470966405623,1,1,50,"ULK2","KEGG_LEGACY","Not Significant"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.810183287029171,1,2,107,"SHC2, TNFRSF10C","KEGG_LEGACY","Not Significant"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.821915720519745,1,1,60,"FXYD2","KEGG_LEGACY","Not Significant"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.826973683508194,1,1,61,"FMO4","KEGG_LEGACY","Not Significant"
"KEGG_LEISHMANIA_INFECTION",0.854449008033909,1,1,67,"MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_HUNTINGTONS_DISEASE",0.866222481844375,1,3,171,"CREB5, DLG4, DNALI1","KEGG_LEGACY","Not Significant"
"KEGG_RENAL_CELL_CARCINOMA",0.866507740563552,1,1,70,"SLC2A1","KEGG_LEGACY","Not Significant"
"KEGG_INSULIN_SIGNALING_PATHWAY",0.872696932291886,1,2,125,"PPP1R3C, SHC2","KEGG_LEGACY","Not Significant"
"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.877569412123727,1,1,73,"SHC2","KEGG_LEGACY","Not Significant"
"KEGG_ENDOCYTOSIS",0.878658904923552,1,3,176,"FGFR3, PARD6G, PDGFRA","KEGG_LEGACY","Not Significant"
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.881049488155556,1,1,74,"DGKG","KEGG_LEGACY","Not Significant"
"KEGG_PEROXISOME",0.887716298735972,1,1,76,"BAAT","KEGG_LEGACY","Not Significant"
"KEGG_APOPTOSIS",0.905561499573376,1,1,82,"TNFRSF10C","KEGG_LEGACY","Not Significant"
"KEGG_SMALL_CELL_LUNG_CANCER",0.908247397322618,1,1,83,"ITGA6","KEGG_LEGACY","Not Significant"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.935108356953015,1,1,95,"PLA2G4A","KEGG_LEGACY","Not Significant"
"KEGG_PYRIMIDINE_METABOLISM",0.936955405761976,1,1,96,"NME5","KEGG_LEGACY","Not Significant"
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.946986580789801,1,1,102,"MAPK12","KEGG_LEGACY","Not Significant"
"KEGG_PARKINSONS_DISEASE",0.96661523607016,1,1,118,"GPR37","KEGG_LEGACY","Not Significant"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.969389615311432,1,1,121,"ATP6V1E2","KEGG_LEGACY","Not Significant"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.976406761427094,1,1,130,"CUL7","KEGG_LEGACY","Not Significant"
"KEGG_ALZHEIMERS_DISEASE",0.987879765090817,1,1,153,"APBB1","KEGG_LEGACY","Not Significant"
"KEGG_ACUTE_MYELOID_LEUKEMIA",1,1,0,56,"","KEGG_LEGACY","Not Significant"
"KEGG_ADHERENS_JUNCTION",1,1,0,71,"","KEGG_LEGACY","Not Significant"
"KEGG_ALLOGRAFT_REJECTION",1,1,0,31,"","KEGG_LEGACY","Not Significant"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",1,1,0,41,"","KEGG_LEGACY","Not Significant"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",1,1,0,60,"","KEGG_LEGACY","Not Significant"
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",1,1,0,22,"","KEGG_LEGACY","Not Significant"
"KEGG_ASTHMA",1,1,0,19,"","KEGG_LEGACY","Not Significant"
"KEGG_BASAL_TRANSCRIPTION_FACTORS",1,1,0,32,"","KEGG_LEGACY","Not Significant"
"KEGG_BASE_EXCISION_REPAIR",1,1,0,34,"","KEGG_LEGACY","Not Significant"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1,1,0,73,"","KEGG_LEGACY","Not Significant"
"KEGG_CELL_CYCLE",1,1,0,123,"","KEGG_LEGACY","Not Significant"
"KEGG_CITRATE_CYCLE_TCA_CYCLE",1,1,0,29,"","KEGG_LEGACY","Not Significant"
"KEGG_COLORECTAL_CANCER",1,1,0,62,"","KEGG_LEGACY","Not Significant"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",1,1,0,32,"","KEGG_LEGACY","Not Significant"
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",1,1,0,40,"","KEGG_LEGACY","Not Significant"
"KEGG_DNA_REPLICATION",1,1,0,36,"","KEGG_LEGACY","Not Significant"
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",1,1,0,21,"","KEGG_LEGACY","Not Significant"
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",1,1,0,46,"","KEGG_LEGACY","Not Significant"
"KEGG_ENDOMETRIAL_CANCER",1,1,0,51,"","KEGG_LEGACY","Not Significant"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",1,1,0,54,"","KEGG_LEGACY","Not Significant"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1,1,0,25,"","KEGG_LEGACY","Not Significant"
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",1,1,0,25,"","KEGG_LEGACY","Not Significant"
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",1,1,0,15,"","KEGG_LEGACY","Not Significant"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",1,1,0,32,"","KEGG_LEGACY","Not Significant"
"KEGG_HOMOLOGOUS_RECOMBINATION",1,1,0,28,"","KEGG_LEGACY","Not Significant"
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",1,1,0,54,"","KEGG_LEGACY","Not Significant"
"KEGG_LONG_TERM_POTENTIATION",1,1,0,62,"","KEGG_LEGACY","Not Significant"
"KEGG_LYSINE_DEGRADATION",1,1,0,44,"","KEGG_LEGACY","Not Significant"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",1,1,0,59,"","KEGG_LEGACY","Not Significant"
"KEGG_MISMATCH_REPAIR",1,1,0,23,"","KEGG_LEGACY","Not Significant"
"KEGG_NON_SMALL_CELL_LUNG_CANCER",1,1,0,53,"","KEGG_LEGACY","Not Significant"
"KEGG_NOTCH_SIGNALING_PATHWAY",1,1,0,43,"","KEGG_LEGACY","Not Significant"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",1,1,0,44,"","KEGG_LEGACY","Not Significant"
"KEGG_OLFACTORY_TRANSDUCTION",1,1,0,88,"","KEGG_LEGACY","Not Significant"
"KEGG_ONE_CARBON_POOL_BY_FOLATE",1,1,0,17,"","KEGG_LEGACY","Not Significant"
"KEGG_P53_SIGNALING_PATHWAY",1,1,0,66,"","KEGG_LEGACY","Not Significant"
"KEGG_PANCREATIC_CANCER",1,1,0,70,"","KEGG_LEGACY","Not Significant"
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",1,1,0,25,"","KEGG_LEGACY","Not Significant"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",1,1,0,25,"","KEGG_LEGACY","Not Significant"
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",1,1,0,37,"","KEGG_LEGACY","Not Significant"
"KEGG_PRIMARY_IMMUNODEFICIENCY",1,1,0,30,"","KEGG_LEGACY","Not Significant"
"KEGG_PROPANOATE_METABOLISM",1,1,0,31,"","KEGG_LEGACY","Not Significant"
"KEGG_PROTEASOME",1,1,0,42,"","KEGG_LEGACY","Not Significant"
"KEGG_PROTEIN_EXPORT",1,1,0,23,"","KEGG_LEGACY","Not Significant"
"KEGG_PYRUVATE_METABOLISM",1,1,0,37,"","KEGG_LEGACY","Not Significant"
"KEGG_RETINOL_METABOLISM",1,1,0,53,"","KEGG_LEGACY","Not Significant"
"KEGG_RIBOSOME",1,1,0,85,"","KEGG_LEGACY","Not Significant"
"KEGG_RNA_DEGRADATION",1,1,0,54,"","KEGG_LEGACY","Not Significant"
"KEGG_RNA_POLYMERASE",1,1,0,28,"","KEGG_LEGACY","Not Significant"
"KEGG_SELENOAMINO_ACID_METABOLISM",1,1,0,26,"","KEGG_LEGACY","Not Significant"
"KEGG_SPLICEOSOME",1,1,0,126,"","KEGG_LEGACY","Not Significant"
"KEGG_STEROID_BIOSYNTHESIS",1,1,0,16,"","KEGG_LEGACY","Not Significant"
"KEGG_TASTE_TRANSDUCTION",1,1,0,38,"","KEGG_LEGACY","Not Significant"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",1,1,0,15,"","KEGG_LEGACY","Not Significant"
"KEGG_THYROID_CANCER",1,1,0,27,"","KEGG_LEGACY","Not Significant"
"KEGG_TYPE_I_DIABETES_MELLITUS",1,1,0,37,"","KEGG_LEGACY","Not Significant"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",1,1,0,44,"","KEGG_LEGACY","Not Significant"
"KEGG_VIRAL_MYOCARDITIS",1,1,0,61,"","KEGG_LEGACY","Not Significant"
