"pathway","pval","padj","overlap","size","overlapGenes","Pathway_Set","Significance"
"KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY",0.0361368005400366,0.491035348514615,3,26,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY",0.0563826896768369,0.72357785085274,3,31,"ADCY5, ADCY9, SMARCD3","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_DRD1_GNAS_AC_PKA_SIGNALING_PATHWAY",0.0658016748802489,0.800009836701974,2,15,"ADCY5, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION",0.0738333613762293,0.838633364386836,2,16,"WNT3, WNT9A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY",0.0762393967624396,0.838633364386836,5,80,"FGFR3, NRTN, PDGFC, PDGFD, PDGFRA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY",0.0821588836277605,0.862668278091485,2,17,"CAMK1D, PDGFRA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY",0.0862686160328843,0.866436969721577,3,37,"EPOR, IL15RA, IL6R","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT",0.103252445814,0.993804790959746,3,40,"DNAH5, DNALI1, TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY",0.115248774915525,1,3,42,"FZD1, WNT3, WNT9A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT",0.115248774915525,1,3,42,"DNAH5, DNALI1, TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY",0.117955447224324,1,2,21,"CAMK1D, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY",0.121434887591343,1,3,43,"FZD1, WNT3, WNT9A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY",0.146712553784338,1,4,72,"FGFR3, PDGFC, PDGFD, PDGFRA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL",0.146863362546992,1,2,24,"FGFR3, PDGFRA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY",0.166851387350538,1,2,26,"WNT3, WNT9A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT",0.166851387350538,1,2,26,"DNAH5, DNALI1","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TUBA4A_TO_RETROGRADE_AXONAL_TRANSPORT",0.166851387350538,1,2,26,"DNAH5, DNALI1","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY",0.166851387350538,1,2,26,"WNT3, WNT9A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY",0.177013459873891,1,2,27,"CAMK1D, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY",0.179394919755358,1,4,78,"FGFR3, PDGFC, PDGFD, PDGFRA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.218461827328928,1,2,31,"CREB5, MAPK12","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY",0.228962091379716,1,2,32,"CLDN10, CLDN9","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY",0.25005059267205,1,2,34,"WNT3, WNT9A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",0.349990390307737,1,1,15,"PRKD1","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY",0.349990390307737,1,1,15,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.349990390307737,1,1,15,"PDGFRA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY",0.349990390307737,1,1,15,"CAMK1D","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PRKACA_TO_ACTH_CORTISOL_SIGNALING_PATHWAY",0.349990390307737,1,1,15,"CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HPV_E7_TO_PP2A_AKT_SIGNALING_PATYWAY",0.36840085890317,1,1,16,"PPP2R3A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_N_GLYCAN_BIOSYNTHESIS",0.36840085890317,1,1,16,"FUT8","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY",0.36840085890317,1,1,16,"FZD1","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO",0.36840085890317,1,1,16,"FZD1","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_FGFR3_TO_RAS_ERK_SIGNALING_PATHWAY",0.36840085890317,1,1,16,"FGFR3","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT",0.36840085890317,1,1,16,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_ACTH_CORTISOL_SIGNALING_PATHWAY",0.36840085890317,1,1,16,"CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.386290982357884,1,1,17,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.386290982357884,1,1,17,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL",0.386290982357884,1,1,17,"CACNA1H","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.386290982357884,1,1,17,"PDGFRA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT",0.403675436333829,1,1,18,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS",0.403675436333829,1,1,18,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM",0.403675436333829,1,1,18,"DLG4","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY",0.403675436333829,1,1,18,"CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY",0.420568483463182,1,1,19,"CAMK1D","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY",0.420568483463182,1,1,19,"IL15RA","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY",0.420568483463182,1,1,19,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",0.420568483463182,1,1,19,"KNL1","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_PP2A_AKT_SIGNALING_PATHWAY",0.420568483463182,1,1,19,"PPP2R3A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION",0.420568483463182,1,1,19,"H3C4","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY",0.436983984947874,1,1,20,"CYFIP2","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY",0.436983984947874,1,1,20,"GDF7","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_PROMOTION_OF_MICROTUBULE_GROWTH",0.436983984947874,1,1,20,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY",0.436983984947874,1,1,20,"CACNA1H","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY",0.452935411834051,1,1,21,"CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION",0.452935411834051,1,1,21,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION",0.452935411834051,1,1,21,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT",0.468435855970567,1,1,22,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY",0.468435855970567,1,1,22,"PPP2R3A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY",0.468435855970567,1,1,22,"FGFR3","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY",0.468435855970567,1,1,22,"IL6R","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.468435855970567,1,1,22,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.483498040660326,1,1,23,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION",0.483498040660326,1,1,23,"COPZ2","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_E2_ER_RAS_ERK_SIGNALING_PATHWAY",0.483498040660326,1,1,23,"CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY",0.483498040660326,1,1,23,"ITGA7","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY",0.483498040660326,1,1,23,"ITGA7","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.483498040660326,1,1,23,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY",0.498134331013079,1,1,24,"CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.498134331013079,1,1,24,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.512356744008026,1,1,25,"CYFIP2","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_FGF_FGFR_RAS_ERK_SIGNALING_PATHWAY",0.526176958274326,1,1,26,"FGFR3","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY",0.526176958274326,1,1,26,"ITGA7","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION",0.526176958274326,1,1,26,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY",0.526176958274326,1,1,26,"MAPK12","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY",0.552655870158834,1,1,28,"ITGA7","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.565336317516915,1,1,29,"CYFIP2","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY",0.565336317516915,1,1,29,"CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.577658083335749,1,1,30,"CYFIP2","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY",0.577658083335749,1,1,30,"ITGA7","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY",0.577658083335749,1,1,30,"ITGA7","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_BRANCHING_MICROTUBULE_NUCLEATION",0.589631291869309,1,1,31,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.612571116292031,1,1,33,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT",0.683240581653547,1,1,40,"TUBB6","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY",0.709441288981542,1,1,43,"PTGFR","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",1,1,0,18,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0,18,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",1,1,0,17,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",1,1,0,17,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",1,1,0,18,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",1,1,0,29,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",1,1,0,16,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",1,1,0,24,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",1,1,0,16,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY",1,1,0,29,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",1,1,0,22,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY",1,1,0,27,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_SARS_COV_2_NSP1_TO_TRANSLATION_INITIATION",1,1,0,33,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",1,1,0,38,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119",1,1,0,22,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES",1,1,0,27,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_AGE_RAGE_SIGNALING_PATHWAY",1,1,0,16,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_AREG_EGFR_RAS_ERK_SIGNALING_PATHWAY",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE",1,1,0,18,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1",1,1,0,16,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY",1,1,0,16,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",1,1,0,29,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CCR5_GNB_G_PLCB_G_PKC_SIGNALING_PATHWAY",1,1,0,24,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY",1,1,0,28,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE",1,1,0,16,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE",1,1,0,16,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING",1,1,0,20,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION",1,1,0,29,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS",1,1,0,15,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY",1,1,0,19,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",1,1,0,20,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY",1,1,0,29,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",1,1,0,24,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY",1,1,0,25,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",1,1,0,24,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119",1,1,0,26,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC",1,1,0,17,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING",1,1,0,18,"","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",1,1,0,23,"","KEGG_MEDICUS","Not Significant"
